Category;Question;Option1;Option2;Option3;Option4;CorrectIndex
Java Grund;Vad datatyp används för heltal?;int;double;boolean;String;1
Java Grund;Vad datatyp används för text?;int;double;boolean;String;4
Java Grund;Vad datatyp används för sant/falskt?;int;double;boolean;String;3
Java Grund;Vad datatyp används för decimaltal?;int;double;boolean;String;2
Java Grund;Vilket nyckelord används för att skapa en klass?;class;interface;void;static;1
Java Grund;Vilket nyckelord används för att inte returnera något?;class;interface;void;static;3
Java Grund;Vilken loop körs alltid minst en gång?;for;while;do-while;foreach;3
Java Grund;Vad är syntaxen för "och" i if-satser?;||;&&;!;==;2
Java Grund;Vad är syntaxen för "eller" i if-satser?;||;&&;!;==;1
Java Grund;Vad betyder "static"?;Tillhör klassen;Tillhör objektet;Kan inte ändras;Privat;1
Java Grund;Vad betyder "final" på en variabel?;Kan inte ändras;Tillhör klassen;Publik;Ingen av dessa;1
Java Grund;Hur startar man en Java-applikation?;main metoden;start metoden;run metoden;init metoden;1
Java Grund;Vad är en Array?;En samling av samma datatyp;En textsträng;Ett heltal;En loop;1
Java Grund;Index i arrayer börjar på?;0;1;-1;Varierar;1
Java Grund;Vad skriver System.out.println() ut?;Text till konsolen;Text till fil;Felmeddelande;Ingenting;1
Java Grund;Vilket tecken avslutar en sats i Java?;:;.;,;;;4
Java Grund;Vad används för kommentarer på en rad?;//;/*;*/;#;1
Java Grund;Vad används för block-kommentarer?;/* ... */;# ... #;// ... //;<!-- ... -->;1
Java Grund;Vad är skillnaden på = och ==?;Tilldelning vs Jämförelse;Jämförelse vs Tilldelning;Ingen skillnad;Matematik vs Logik;1
Java Grund;Vilken loop är bäst när man vet antal iterationer?;for;while;do-while;if;1
Java Grund;Vilken loop är bäst när man inte vet antal iterationer?;for;while;do-while;switch;2
Java Grund;Vad är en konstruktor?;Metod för att skapa objekt;En variabel;En klass;Ett paket;1
Java Grund;Har alla klasser en konstruktor?;Ja (default om ingen skrivs);Nej;Endast abstrakta;Endast public;1
Java Grund;Vad är "this"?;Referens till nuvarande objekt;Referens till klassen;Referens till förälder;En loop;1
Java Grund;Vad är "super"?;Referens till förälderklass;Referens till nuvarande objekt;En datatyp;En metod;1
Java Grund;Vad betyder "public"?;Åtkomlig överallt;Endast i klassen;Endast i paketet;Endast av barn;1
